Family_Name	Name	Resources_Annotated	Sources_Annotated	Resources_Computed	Sources_Computed
ISO 639	ISO 639-3 Registration Authority	1003	1003	0	0
Blench	Roger	158	160	26	27
Anonymous	Unknown Author	96	119	254	256
Ray	Sidney H.	80	86	4	4
Donohue	Mark	57	57	9	9
Prost	André	57	60	11	11
Suzuki	Hiroyuki	56	56	3	3
Heine	Bernd	55	56	29	32
Jungraithmayr	Herrmann	54	54	39	40
Heath	Jeffrey	50	50	42	44
Rivet	Paul	49	51	8	9
Collins	James T.	44	44	2	2
Blench	Roger M.	44	44	28	30
Evans	Nicholas	43	43	29	31
Kumar	Braj Bihari	41	41	27	27
Hulstaert	Gustaaf	41	41	12	12
Borjian	Habib	40	41	0	0
Comrie	Bernard	39	40	37	37
Bradley	David	39	39	20	20
Mangulu	André Motingea	37	41	7	7
Westermann	Diedrich	37	38	36	36
Blust	Robert	36	36	12	12
Boas	Franz	36	36	21	21
Boyeldieu	Pascal	36	36	21	21
Capell	Arthur	36	36	15	15
Dai	Qingxia	36	36	4	4
Sun	Hongkai	36	36	12	12
Lynch	John	35	36	5	40
Codrington	Robert	35	35	0	0
Crowley	Terry	35	35	7	40
Wurm	Stephen A.	35	35	2	2
Leslau	Wolf	35	35	47	48
Santandrea	Stefano	35	35	2	2
Ross	Malcolm	33	33	4	38
Anonymous	{	33	33	0	0
Dhakal	Dubi Nanda	32	32	0	0
Grierson	George A.	32	36	1	1
Kleinewillinghöfer	Ulrich	31	31	5	5
Headland	Thomas N.	31	31	10	10
Nimuendajú	Curt	31	31	7	7
Morgenstierne	Georg	30	30	10	10
Blažek	Václav	30	30	4	4
Sapir	Edward	30	31	28	30
Koch-Grünberg	Theodor	30	30	4	6
Bostoen	Koen	29	29	8	8
Bender	Lionel M.	29	29	1	1
Nishida	Tatsuo	29	29	7	8
Sidwell	Paul	27	27	7	7
Shintani	Tadahiko L. A.	27	27	1	1
Franklin	Karl J.	26	26	30	33
Güldemann	Tom	26	26	7	7
Nurse	Derek	26	26	13	13
Tosco	Mauro	25	25	9	9
Rose	Françoise	25	25	1	1
Tastevin	Constant	25	25	0	0
Dixon	R. M. W.	24	24	33	33
Mous	Maarten	24	24	15	15
Edmondson	Jerold A.	24	24	4	4
Campbell	Lyle	24	24	18	20
Zamponi	Raoul	24	24	0	0
Grimes	Charles E.	23	24	14	14
Michael	Lev	23	23	6	6
Jastrow	Otto	23	23	4	4
Tryon	Darrell T.	23	24	7	7
Métraux	Alfred	23	23	7	8
Schmidt	Max	23	23	0	0
Kroeber	Alfred L.	23	23	0	0
Cerrón-Palomino	Rodolfo	23	23	7	7
Voorhoeve	C. L.	23	24	2	2
Hanke	Wanda	23	23	2	2
Aikhenvald	Alexandra Y.	22	22	18	19
Bowern	Claire	22	23	6	6
Tourneux	Henry	22	22	7	8
Tucker	Archibald N.	22	22	4	4
Vossen	Rainer	22	22	15	19
Sharma	D. D.	22	22	3	3
Adam	Lucien	21	21	6	6
Andersen	Torben	21	21	19	19
Matras	Yaron	21	21	12	12
Li	Jinfang	21	21	0	0
Reid	Lawrence A.	21	22	7	7
Keegan	John M.	20	20	2	2
Blake	Barry J.	20	20	11	13
François	Alexandre	20	21	2	2
Doerfer	Gerhard	20	20	6	6
Mathews	R. H.	20	20	0	0
Ulrich	Rosemary	20	20	2	2
Brinton	Daniel G.	19	19	1	1
Laycock	Donald C.	19	19	5	5
Cerulli	Enrico	19	19	0	0
Curr	Edward Micklethwaite	19	19	1	1
Schapper	Antoinette	19	19	10	11
Drabbe	Peter	19	19	2	2
Gatschet	Albert S.	19	19	0	0
Lukas	Johannes	19	19	15	15
Gifford	E. W.	19	20	0	0
Hieda	Osamu	19	19	4	4
Huziwara	Keisuke	19	19	0	0
Ulrich	Matthew	19	19	2	2
Austin	Peter K.	18	18	13	13
Schebesta	Paul	18	18	0	0
Morey	Stephen	18	18	6	6
Swanton	John R.	18	18	4	4
Schadeberg	Thilo C.	18	20	14	15
Ramirez	Henri	18	19	2	3
Kroeber	A. L.	18	18	2	2
Loukotka	Čestmír	18	18	3	3
Matisoff	James A.	18	18	21	22
Seidel	August	18	18	15	15
Taylor	Gerald	18	18	5	5
Abbi	Anvita	17	17	4	4
Ehret	Christopher	17	17	2	2
