Glottocode	Sources	Latitude	Longitude	Family	Macroarea
kala1397	13	-5.25216	144.585	Nuclear Trans New Guinea [nucl1709]	Papunesia
ogea1238	6	-5.37766	145.71	Nuclear Trans New Guinea [nucl1709]	Papunesia
nucl1630	16	-9.46246	147.899	Koiarian [koia1260]	Papunesia
yess1239	10	-4.15721	142.574	Sepik [sepi1257]	Papunesia
yong1280	16	-6.42956	141.213	Nuclear Trans New Guinea [nucl1709]	Papunesia
oksa1245	14	-5.20797	142.177	Nuclear Trans New Guinea [nucl1709]	Papunesia
ramo1244	11	-4.17306	152.451	Austronesian [aust1307]	Papunesia
faiw1243	13	-5.4967	141.656	Nuclear Trans New Guinea [nucl1709]	Papunesia
guma1254	5	-9.28497	150.762	Austronesian [aust1307]	Papunesia
nekk1240	5	-6.37697	146.841	Nuclear Trans New Guinea [nucl1709]	Papunesia
wask1241	10	-4.57978	145.979	Nuclear Trans New Guinea [nucl1709]	Papunesia
uman1240	8	-9.89671	149.658	Dagan [daga1274]	Papunesia
sian1257	10	-6.13188	145.247	Nuclear Trans New Guinea [nucl1709]	Papunesia
umbu1258	9	-5.9513	143.97	Nuclear Trans New Guinea [nucl1709]	Papunesia
daga1275	11	-9.9747	149.263	Dagan [daga1274]	Papunesia
wari1266	13	-3.139	140.931	Border [bord1247]	Papunesia
buna1276	9	-10.0761	151.066	Austronesian [aust1307]	Papunesia
chin1272	3	55.0	-125.0	Chinookan [chin1490]	North America
kama1367	10	-3.8503	143.842	Nuclear Torricelli [nucl1708]	Papunesia
rapo1238	2	-5.78724	154.834	North Bougainville [nort2933]	Papunesia
dano1240	4	-5.92188	145.254	Nuclear Trans New Guinea [nucl1709]	Papunesia
tinp1237	3	-5.58358	154.972	Austronesian [aust1307]	Papunesia
tami1290	8	-6.70017	147.732	Austronesian [aust1307]	Papunesia
kuni1263	11	-8.66368	146.874	Austronesian [aust1307]	Papunesia
goli1247	6	-6.2249	144.8505	Nuclear Trans New Guinea [nucl1709]	Papunesia
kuni1267	19	-8.09371	146.908	Kunimaipan [kuni1270]	Papunesia
kuan1247	22	-17.7176	16.58	Atlantic-Congo [atla1278]	Africa
afri1274	39	-22.0	30.0	Indo-European [indo1319]	Africa
nama1264	115	-25.0747	17.9767	Khoe-Kwadi [khoe1240]	Africa
kwan1273	20	-17.9026	19.256	Atlantic-Congo [atla1278]	Africa
kani1286	0	-6.38841	145.556	Nuclear Trans New Guinea [nucl1709]	Papunesia
nara1264	6	-5.5591	144.754	Nuclear Trans New Guinea [nucl1709]	Papunesia
want1252	13	-6.15216	146.513	Nuclear Trans New Guinea [nucl1709]	Papunesia
alek1238	9	-6.03901	145.387	Nuclear Trans New Guinea [nucl1709]	Papunesia
boik1241	11	-3.68297	143.474	Ndu [nduu1242]	Papunesia
waim1251	13	-8.67145	146.544	Austronesian [aust1307]	Papunesia
kamu1260	6	-7.28798	142.639	Kamula-Elevala [kamu1264]	Papunesia
gily1242	37	52.59	140.681	Nivkh [nivk1234]	Eurasia
ambu1247	24	-3.7801	143.059	Ndu [nduu1242]	Papunesia
muyu1244	19	-9.195	152.731	Austronesian [aust1307]	Papunesia
melp1238	12	-5.62644	144.34	Nuclear Trans New Guinea [nucl1709]	Papunesia
meny1245	8	-7.17425	146.071	Angan [anga1289]	Papunesia
boro1279	7	-6.56688	147.511	Nuclear Trans New Guinea [nucl1709]	Papunesia
furr1244	36	12.0455	23.6401	Furan [fura1235]	Africa
bine1240	9	-9.08879	142.893	Eastern Trans-Fly [east2503]	Papunesia
idun1242	5	-9.34361	150.24	Austronesian [aust1307]	Papunesia
taki1248	13	-4.69057	145.975	Austronesian [aust1307]	Papunesia
naas1242	18	-6.46022	155.632	South Bougainville [sout2948]	Papunesia
naka1262	44	-5.59931	150.888	Austronesian [aust1307]	Papunesia
weri1253	8	-7.71834	146.914	Kunimaipan [kuni1270]	Papunesia
buki1249	16	-3.47169	143.111	Nuclear Torricelli [nucl1708]	Papunesia
usar1243	7	-6.38898	145.633	Nuclear Trans New Guinea [nucl1709]	Papunesia
awiy1238	8	-6.54079	145.76	Nuclear Trans New Guinea [nucl1709]	Papunesia
tung1290	12	-2.52188	150.198	Austronesian [aust1307]	Papunesia
mian1256	17	-4.70881	141.523	Nuclear Trans New Guinea [nucl1709]	Papunesia
dadi1250	14	-6.65765	144.511	Teberan [tebe1251]	Papunesia
anga1290	9	-7.15012	146.352	Angan [anga1289]	Papunesia
aman1265	9	-3.51516	141.178	Border [bord1247]	Papunesia
tifa1245	17	-5.03899	141.293	Nuclear Trans New Guinea [nucl1709]	Papunesia
nucl1620	12	-6.11629	144.665	Nuclear Trans New Guinea [nucl1709]	Papunesia
kara1486	10	-2.81957	151.111	Austronesian [aust1307]	Papunesia
bian1252	7	-7.33882	146.765	Kunimaipan [kuni1270]	Papunesia
iatm1242	28	-4.30064	143.316	Ndu [nduu1242]	Papunesia
niii1240	6	-5.763	144.518	Nuclear Trans New Guinea [nucl1709]	Papunesia
kobo1249	12	-5.16446	144.46	Nuclear Trans New Guinea [nucl1709]	Papunesia
awap1236	13	-6.65534	145.714	Nuclear Trans New Guinea [nucl1709]	Papunesia
tele1256	20	-5.07444	141.731	Nuclear Trans New Guinea [nucl1709]	Papunesia
kaul1240	10	-6.08192	149.696	Austronesian [aust1307]	Papunesia
inok1238	2	-6.32311	145.539	Nuclear Trans New Guinea [nucl1709]	Papunesia
ziaa1250	10	-7.95814	147.579	Nuclear Trans New Guinea [nucl1709]	Papunesia
fasu1242	17	-6.62687	143.284		Papunesia
yele1255	19	-11.3796	154.127		Papunesia
timb1251	3	-6.06875	147.057	Nuclear Trans New Guinea [nucl1709]	Papunesia
