Glottocode	Sources	Latitude	Longitude	Family	Macroarea
kala1397	15	-5.25216	144.585	Nuclear Trans New Guinea [nucl1709]	pacific
ogea1238	1	-5.37766	145.71	Nuclear Trans New Guinea [nucl1709]	pacific
nucl1630	9	-9.46246	147.899	Koiarian [koia1260]	pacific
yess1239	14	-4.15721	142.574	Sepik [sepi1257]	pacific
yong1280	2	-6.42956	141.213	Nuclear Trans New Guinea [nucl1709]	pacific
oksa1245	12	-5.20797	142.177	Nuclear Trans New Guinea [nucl1709]	pacific
ramo1244	6	-4.17306	152.451	Austronesian [aust1307]	pacific
faiw1243	8	-5.4967	141.656	Nuclear Trans New Guinea [nucl1709]	pacific
guma1254	2	-9.28497	150.762	Austronesian [aust1307]	pacific
nekk1240	2	-6.37697	146.841	Nuclear Trans New Guinea [nucl1709]	pacific
wask1241	5	-4.57978	145.979	Nuclear Trans New Guinea [nucl1709]	pacific
uman1240	4	-9.89671	149.658	Dagan [daga1274]	pacific
sian1257	6	-6.13188	145.247	Nuclear Trans New Guinea [nucl1709]	pacific
umbu1258	9	-5.9513	143.97	Nuclear Trans New Guinea [nucl1709]	pacific
daga1275	5	-9.9747	149.263	Dagan [daga1274]	pacific
wari1266	1	-3.139	140.931	Border [bord1247]	pacific
buna1276	4	-10.0761	151.066	Austronesian [aust1307]	pacific
chin1272	26	55.0	-125.0	Chinookan [chin1490]	northamerica
kama1367	22	-3.8503	143.842	Nuclear Torricelli [nucl1708]	pacific
rapo1238	3	-5.78724	154.834	North Bougainville [nort2933]	pacific
dano1240	0	-5.92188	145.254	Nuclear Trans New Guinea [nucl1709]	pacific
tinp1237	1	-5.58358	154.972	Austronesian [aust1307]	pacific
tami1290	0	-6.70017	147.732	Austronesian [aust1307]	pacific
kuni1263	2	-8.66368	146.874	Austronesian [aust1307]	pacific
goli1247	5	-6.2249	144.8505	Nuclear Trans New Guinea [nucl1709]	pacific
kuni1267	12	-8.09371	146.908	Kunimaipan [kuni1270]	pacific
nama1264	234	-25.0747	17.9767	Khoe-Kwadi [khoe1240]	africa
kwan1273	19	-17.9026	19.256	Atlantic-Congo [atla1278]	africa
afri1274	156	-22.0	30.0	Indo-European [indo1319]	africa
kuan1247	50	-17.7176	16.58	Atlantic-Congo [atla1278]	africa
kani1286	8	-6.38841	145.556	Nuclear Trans New Guinea [nucl1709]	pacific
nara1264	2	-5.5591	144.754	Nuclear Trans New Guinea [nucl1709]	pacific
want1252	5	-6.15216	146.513	Nuclear Trans New Guinea [nucl1709]	pacific
alek1238	9	-6.03901	145.387	Nuclear Trans New Guinea [nucl1709]	pacific
boik1241	5	-3.68297	143.474	Ndu [nduu1242]	pacific
waim1251	2	-8.67145	146.544	Austronesian [aust1307]	pacific
kamu1260	0	-7.28798	142.639	Kamula-Elevala [kamu1264]	pacific
gily1242	12	52.59	140.681	Nivkh [nivk1234]	eurasia
ambu1247	14	-3.7801	143.059	Ndu [nduu1242]	pacific
muyu1244	5	-9.195	152.731	Austronesian [aust1307]	pacific
melp1238	2	-5.62644	144.34	Nuclear Trans New Guinea [nucl1709]	pacific
meny1245	6	-7.17425	146.071	Angan [anga1289]	pacific
boro1279	1	-6.56688	147.511	Nuclear Trans New Guinea [nucl1709]	pacific
furr1244	11	12.0455	23.6401	Furan [fura1235]	africa
bine1240	2	-9.08879	142.893	Eastern Trans-Fly [east2503]	pacific
idun1242	5	-9.34361	150.24	Austronesian [aust1307]	pacific
taki1248	5	-4.69057	145.975	Austronesian [aust1307]	pacific
naas1242	4	-6.46022	155.632	South Bougainville [sout2948]	pacific
naka1262	8	-5.59931	150.888	Austronesian [aust1307]	pacific
weri1253	7	-7.71834	146.914	Kunimaipan [kuni1270]	pacific
buki1249	7	-3.47169	143.111	Nuclear Torricelli [nucl1708]	pacific
usar1243	9	-6.38898	145.633	Nuclear Trans New Guinea [nucl1709]	pacific
awiy1238	10	-6.54079	145.76	Nuclear Trans New Guinea [nucl1709]	pacific
tung1290	0	-2.52188	150.198	Austronesian [aust1307]	pacific
mian1256	10	-4.70881	141.523	Nuclear Trans New Guinea [nucl1709]	pacific
dadi1250	7	-6.65765	144.511	Teberan [tebe1251]	pacific
anga1290	2	-7.15012	146.352	Angan [anga1289]	pacific
aman1265	19	-3.51516	141.178	Border [bord1247]	pacific
tifa1245	3	-5.03899	141.293	Nuclear Trans New Guinea [nucl1709]	pacific
nucl1620	2	-6.11629	144.665	Nuclear Trans New Guinea [nucl1709]	pacific
kara1486	4	-2.81957	151.111	Austronesian [aust1307]	pacific
bian1252	2	-7.33882	146.765	Kunimaipan [kuni1270]	pacific
iatm1242	4	-4.30064	143.316	Ndu [nduu1242]	pacific
niii1240	6	-5.763	144.518	Nuclear Trans New Guinea [nucl1709]	pacific
kobo1249	11	-5.16446	144.46	Nuclear Trans New Guinea [nucl1709]	pacific
awap1236	37	-6.65534	145.714	Nuclear Trans New Guinea [nucl1709]	pacific
tele1256	10	-5.07444	141.731	Nuclear Trans New Guinea [nucl1709]	pacific
kaul1240	1	-6.08192	149.696	Austronesian [aust1307]	pacific
inok1238	0	-6.32311	145.539	Nuclear Trans New Guinea [nucl1709]	pacific
ziaa1250	0	-7.95814	147.579	Nuclear Trans New Guinea [nucl1709]	pacific
fasu1242	5	-6.62687	143.284		pacific
yele1255	9	-11.3796	154.127		pacific
timb1251	3	-6.06875	147.057	Nuclear Trans New Guinea [nucl1709]	pacific
folo1238	2	-6.86321	144.458	Teberan [tebe1251]	pacific
bahi1254	1	-4.55527	142.832	Sepik [sepi1257]	pacific
kora1294	10	-9.07	149.267	Nuclear Trans New Guinea [nucl1709]	pacific
waff1241	10	-6.55783	146.09	Nuclear Trans New Guinea [nucl1709]	pacific
naba1256	2	-6.42709	146.966	Nuclear Trans New Guinea [nucl1709]	pacific
misi1243	6	-10.6821	152.696	Austronesian [aust1307]	pacific
oloo1241	3	-3.2929	142.131	Nuclear Torricelli [nucl1708]	pacific
iwal1237	1	-7.20938	146.983	Austronesian [aust1307]	pacific
kolu1245	2	-9.42742	150.462	Austronesian [aust1307]	pacific
agar1252	7	-6.20604	145.917	Nuclear Trans New Guinea [nucl1709]	pacific
nort2920	9	-6.51563	145.959	Nuclear Trans New Guinea [nucl1709]	pacific
mana1298	6	-4.19082	142.862	Ndu [nduu1242]	pacific
sioo1240	9	-5.96037	147.353	Austronesian [aust1307]	pacific
roto1249	11	-5.94339	155.154	North Bougainville [nort2933]	pacific
samo1303	7	-6.15496	142.195	East Strickland [east2433]	pacific
kwom1262	5	-4.08721	142.664	Sepik [sepi1257]	pacific
yare1248	6	-9.50651	148.605	Yareban [yare1250]	pacific
amap1240	4	-4.20192	141.658	Left May [left1242]	pacific
siro1249	5	-5.52893	145.994	Nuclear Trans New Guinea [nucl1709]	pacific
wiru1244	6	-6.35863	144.214		pacific
mada1285	2	-3.34342	151.967	Austronesian [aust1307]	pacific
gads1258	12	-6.31631	145.997	Nuclear Trans New Guinea [nucl1709]	pacific
duna1248	10	-5.41439	142.475		pacific
gimi1243	0	-6.42097	145.214	Nuclear Trans New Guinea [nucl1709]	pacific
nobo1238	0	-5.06952	145.712	Nuclear Trans New Guinea [nucl1709]	pacific
binu1245	6	-6.22068	146.102	Nuclear Trans New Guinea [nucl1709]	pacific
chua1250	8	-6.17824	145.139	Nuclear Trans New Guinea [nucl1709]	pacific
dedu1240	0	-6.38206	147.627	Nuclear Trans New Guinea [nucl1709]	pacific
fore1270	13	-6.64473	145.5065	Nuclear Trans New Guinea [nucl1709]	pacific
pate1247	5	-6.91988	146.639	Austronesian [aust1307]	pacific
kwan1278	1	-3.74263	142.711	Sepik [sepi1257]	pacific
komb1272	4	-3.48467	142.694	Nuclear Torricelli [nucl1708]	pacific
auuu1241	10	-3.53277	142.105	Nuclear Torricelli [nucl1708]	pacific
urim1252	2	-3.58018	142.653	Nuclear Torricelli [nucl1708]	pacific
adze1240	5	-6.39394	146.294	Austronesian [aust1307]	pacific
gira1247	5	-5.35342	145.423	Nuclear Trans New Guinea [nucl1709]	pacific
komb1273	0	-6.16163	147.28	Nuclear Trans New Guinea [nucl1709]	pacific
orok1269	6	-8.79019	148.09	Nuclear Trans New Guinea [nucl1709]	pacific
urat1244	1	-3.60065	142.79	Nuclear Torricelli [nucl1708]	pacific
tawa1275	7	-10.3115	150.644	Austronesian [aust1307]	pacific
baru1267	9	-6.89261	145.818	Angan [anga1289]	pacific
suen1241	5	-7.76339	147.534	Nuclear Trans New Guinea [nucl1709]	pacific
swah1253	602	-8.25605	37.624	Atlantic-Congo [atla1278]	africa
buhu1237	0	-10.5074	150.18	Austronesian [aust1307]	pacific
moli1248	0	-9.57457	150.614	Austronesian [aust1307]	pacific
stan1290	890	48.0	2.0	Indo-European [indo1319]	eurasia
mand1436	97	12.8165233333	-15.6539466667	Mande [mand1469]	africa
haus1257	529	11.1513	8.7804	Afro-Asiatic [afro1255]	africa
maor1244	51	-12.830306	45.154942	Atlantic-Congo [atla1278]	africa
mori1278	30	-20.2613	57.5517	Indo-European [indo1319]	africa
bass1258	16	12.4529	-13.3495	Atlantic-Congo [atla1278]	africa
mauw1238	9	-4.52416	145.394	Nuclear Trans New Guinea [nucl1709]	pacific
stan1288	978	40.4414	-1.11788	Indo-European [indo1319]	eurasia
ticu1245	24	-3.66289	-69.8723	Ticuna-Yuri [ticu1244]	southamerica
wuvu1239	5	-1.73938	142.851	Austronesian [aust1307]	pacific
west2631	3	19.5392	-102.154	Tarascan [tara1323]	northamerica
ango1254	20	-3.7167	141.199	Senagi [sena1264]	pacific
mode1248	389	38.36	23.13	Indo-European [indo1319]	eurasia
kunz1244	9	-23.0	-69.0		southamerica
mufi1238	9	-3.57932	142.955	Nuclear Torricelli [nucl1708]	pacific
gaik1242	0	-4.01718	143.139	Ndu [nduu1242]	pacific
arop1243	2	-5.31671	147.103	Austronesian [aust1307]	pacific
embu1241	25	-0.62822	37.5933	Atlantic-Congo [atla1278]	africa
telu1262	48	16.4529	78.7024	Dravidian [drav1251]	eurasia
onei1249	16	43.438742	-75.708106	Iroquoian [iroq1247]	northamerica
puqu1242	5	-15.8992	-69.9611		southamerica
guer1243	10	16.77226	-98.18953	Otomanguean [otom1299]	northamerica
para1311	145	-25.60551	-57.08816	Tupian [tupi1275]	southamerica
char1240	0	-34.9	-56.16	Charruan [char1238]	southamerica
abau1245	6	-3.97222	141.324	Sepik [sepi1257]	pacific
gand1255	138	0.66884	32.15153	Atlantic-Congo [atla1278]	africa
mbar1253	2	-14.529	143.789	Pama-Nyungan [pama1250]	australia
uare1241	1	-9.69571	147.687	Kwalean [kwal1257]	pacific
saep1240	4	-5.64812	146.078	Nuclear Trans New Guinea [nucl1709]	pacific
awab1243	26	-33.12847	151.43555	Pama-Nyungan [pama1250]	australia
nali1245	2	-2.14273	147.202	Austronesian [aust1307]	pacific
mang1394	17	2.5511	27.0712	Central Sudanic [cent2225]	africa
soma1255	181	4.778704	45.152856	Afro-Asiatic [afro1255]	africa
kane1243	68	13.8749	14.8437	Saharan [saha1256]	africa
maia1253	0	-4.55066	145.239	Nuclear Trans New Guinea [nucl1709]	pacific
nucl1347	191	15.2534	-15.383	Atlantic-Congo [atla1278]	africa
mapu1245	149	-38.7392	-71.277	Araucanian [arau1255]	southamerica
rund1242	74	-2.94	29.97	Atlantic-Congo [atla1278]	africa
kari1311	131	-9.37937	-64.1522	Tupian [tupi1275]	southamerica
gami1243	48	-29.9037	149.543	Pama-Nyungan [pama1250]	australia
suku1261	41	-3.16082	32.8765	Atlantic-Congo [atla1278]	africa
wich1264	4	-23.1633	-62.1757	Matacoan [mata1289]	southamerica
nden1250	382	6.17426	8.49836	Atlantic-Congo [atla1278]	africa
nort2684	7	14.4674	103.863	Austroasiatic [aust1305]	eurasia
bahn1262	7	14.0476	108.471	Austroasiatic [aust1305]	eurasia
virg1240	35	18.04715	-63.07851	Indo-European [indo1319]	northamerica
oriy1255	8	21.0	85.0	Indo-European [indo1319]	eurasia
kand1303	1	-5.73674	144.966	Nuclear Trans New Guinea [nucl1709]	pacific
xhos1239	258	-31.0389	28.0769	Atlantic-Congo [atla1278]	africa
muon1246	13	20.7374	105.186	Austroasiatic [aust1305]	eurasia
sout2996	96	-17.1417	-70.3442	Aymaran [ayma1253]	southamerica
cent2142	79	-17.0	-68.5	Aymaran [ayma1253]	southamerica
sele1250	13	-6.03532	147.234	Nuclear Trans New Guinea [nucl1709]	pacific
fass1245	12	-3.10868	141.64	Baibai-Fas [baib1250]	pacific
chib1270	40	6.24999	-74.1666	Chibchan [chib1249]	southamerica
ngab1239	22	8.8251	-82.3911	Chibchan [chib1249]	northamerica
baka1277	17	-14.2628	-54.7034	Cariban [cari1283]	southamerica
saka1287	17	-2.85653	17.9669	Atlantic-Congo [atla1278]	africa
yaka1269	35	-5.984	16.775	Atlantic-Congo [atla1278]	africa
luba1249	75	-5.72717	22.4422	Atlantic-Congo [atla1278]	africa
hung1278	4	-3.69695	18.4312	Atlantic-Congo [atla1278]	africa
tete1250	27	-4.29314	24.546	Atlantic-Congo [atla1278]	africa
mbal1257	5	-5.11888	18.041	Atlantic-Congo [atla1278]	africa
yans1239	5	-3.8231	18.2341	Atlantic-Congo [atla1278]	africa
ngon1267	2	-5.5	18.2	Atlantic-Congo [atla1278]	africa
pula1263	194	13.8694	-13.4482	Atlantic-Congo [atla1278]	africa
wamp1250	32	41.2021	-73.3798	Algic [algi1248]	northamerica
nawd1238	19	7.17037	0.58553	Atlantic-Congo [atla1278]	africa
nyan1308	181	-14.8047	32.8108	Atlantic-Congo [atla1278]	africa
came1254	10	5.43932	9.80166	Indo-European [indo1319]	africa
cofa1242	12	0.276675	-77.0643		southamerica
wage1238	8	-13.8627	131.893		australia
auhe1237	0	-10.0959	151.002	Austronesian [aust1307]	pacific
kiku1240	100	-0.29005	36.719	Atlantic-Congo [atla1278]	africa
puel1244	11	-42.223	-68.666		southamerica
nucl1310	140	20.7926	93.9665	Sino-Tibetan [sino1245]	eurasia
yomm1242	6	9.87186	1.81099	Atlantic-Congo [atla1278]	africa
puma1239	7	27.0774	86.838	Sino-Tibetan [sino1245]	eurasia
sout2828	9	2.8735	31.25	Central Sudanic [cent2225]	africa
ennn1243	2	22.8386	106.167	Tai-Kadai [taik1256]	eurasia
safe1240	8	-7.05417	146.09	Angan [anga1289]	pacific
kura1250	4	9.49325	-10.6122	Mande [mand1469]	africa
chad1249	71	14.67	13.5	Afro-Asiatic [afro1255]	africa
waya1270	31	1.73817	-52.6887	Tupian [tupi1275]	southamerica
kitj1240	13	-17.5758	127.392	Jarrakan [jarr1235]	australia
