ID	Language_ID	Reference_ID	DomainOfKnowledge	BasicInformationType	Status
mans1258-1	mans1258	Afanas'eva-2008-russkomansijskij_tematiceskij_slovar	Lexicon	Dictionary	annotated
mans1258-2	mans1258	Afanas'eva-2008-russkomansijskokomi_tematiceskij_slovar	Lexicon	Dictionary	annotated
mans1258-3	mans1258	Bakró-Nagy-2022-north_mansi	Grammar	Grammar Sketch	annotated
mans1258-4	mans1258	Balandin-1957-mansijskij_jazyk	Grammar	Reference Grammar	annotated
mans1258-5	mans1258	Balandin-1958-mansijskorusskij_slovar	Lexicon	Dictionary	annotated
mans1258-6	mans1258	Balandin-1960-samoucitel_mansijskogo_jazyka	Grammar	Reference Grammar	annotated
mans1258-7	mans1258	Chernetsov-1936-kratkij_mansijskorusskij_slovar	Lexicon	Dictionary	annotated
mans1258-8	mans1258	Chernetsov-1937-mansijskij_vogulskij_jazyk	Grammar	Grammar Sketch	annotated
mans1258-9	mans1258	Hervas-1787-saggio_pratico_delle	Text		annotated
mans1258-10	mans1258	Hunfalvy-1864-a_vogul_fold	Text		annotated
mans1258-11	mans1258	Keresztes-1998-mansi	Grammar	Grammar Sketch	annotated
mans1258-12	mans1258	Kuzakova-1994-slovar_mansi_vostochnyj	Lexicon	Dictionary	computed
mans1258-13	mans1258	Kuzakova-1994-slovar_mansi_vostocnyj	Lexicon	Dictionary	computed
mans1258-14	mans1258	Kálmán-1955-manysi_nyelvkonyv	Grammar	Grammar Sketch	annotated
mans1258-15	mans1258	Kálmán-1965-vogul_chrestomathy	Grammar	Grammar Sketch	annotated
mans1258-16	mans1258	Kálmán-1965-vogul_chrestomathy	Text		annotated
mans1258-17	mans1258	Kálmán-1976-wogulische_texte_mit	Text		annotated
mans1258-18	mans1258	Lakó-1956-eszakimanysi_nyelvtanulmanyok	Grammar	Grammar Sketch	annotated
mans1258-19	mans1258	Lakó-1957-nordmansische_sprachstudien	Grammar	Grammar Sketch	annotated
mans1258-20	mans1258	Marietti-1870-oratio_dominica_in	Text		annotated
mans1258-21	mans1258	Munkácsi-1986-wogulisches_worterbuch	Lexicon	Dictionary	annotated
mans1258-22	mans1258	Murphy-1968-sosva_vogul_grammar	Grammar	Reference Grammar	annotated
mans1258-23	mans1258	Pirotti-1972-grammatica_vogula_con	Grammar	Reference Grammar	annotated
mans1258-24	mans1258	Popova-1993-russkomansijskij_razgovornik	Grammar	Grammar Sketch	annotated
mans1258-25	mans1258	Riese-2001-vogul	Grammar	Grammar Sketch	annotated
mans1258-26	mans1258	Rombandeeva-1954-mansijskorusskij_slovar	Lexicon	Dictionary	annotated
mans1258-27	mans1258	Rombandeeva-1966-mansijskij_jazyk	Grammar	Reference Grammar	computed
mans1258-28	mans1258	Rombandeeva-1973-mansijskij_vogulskij_jazyk	Grammar	Reference Grammar	annotated
mans1258-29	mans1258	Rombandeeva-1982-slovar_mansijskorusskij_i	Lexicon	Dictionary	annotated
mans1258-30	mans1258	Rombandeeva-1984-wogulische_syntax	Grammar	Reference Grammar	computed
mans1258-31	mans1258	Rombandeeva-1989-mansijskij_jazyk	Grammar	Reference Grammar	annotated
mans1258-32	mans1258	Rombandeeva-1993-mansijskij_jazyk	Grammar	Grammar Sketch	annotated
mans1258-33	mans1258	Rombandeeva-1995-sygvinskij_dialekt_mansijskogo	Grammar	Reference Grammar	annotated
mans1258-34	mans1258	Strahlenberg-1730-das_nord_und	Lexicon	Wordlist	annotated
mans1258-35	mans1258	Veenker-1971-rucklaufiges_worterbuch_der	Lexicon	Dictionary	computed
mans1258-36	mans1258	Virtanen-2023-mansi	Grammar	Grammar Sketch	annotated
