ID	Creators	Creator_Variants	Title	Title_Variants	Year	Sources
Abraham-1986-the_grammar_of_german	Abraham, Werner		The grammar of German haben		1986	abraham_german-haben1986
Abraham-1991-discourse_particles_descriptive_and	Abraham, Werner		Discourse Particles. Descriptive and theoretical investigations on the logical, syntactic and pragmatic properties of discourse particles in German		1991	abraham_investigations-logical1991
Abraham-1991-discourse_particles_in_german	Abraham, Werner and Abraham, Werner	Abraham, Werner // Abraham, Werner and Abraham, Werner	Discourse particles in German: How does their illocutive force come about	Discourse particles in German // Discourse particles in German: How does their illocutive force come about	1991	abraham-abraham_illocutive-force1991 abraham_particles-german1991
Abraham-1992-structural_properties_of_information	Abraham, Werner		Structural properties of information packaging in German and in universal grammar		1992	abraham_properties-packaging1992
Abraham-1992-the_base_structure_of	Abraham, Werner		The base structure of the German clause under discourse functional weight: Contentful categories vs. Derivative functional categories		1992	abraham_contentful-derivative1992
Abraham-1995-structural_properties_of_information	Abraham, Werner		Structural Properties of Information Packaging in German and in Universal Grammar		1995	abraham_properties-packaging1995
Abraham-1998-dodd_b_eckhardblack_chr	Abraham, Werner		Dodd, B.; Eckhard-Black, Chr.; Klapper, J.; Whittle, R. 1997. Modern German grammar		1998	abraham_dodd-klapper1998
Abraham-2000-modal_particles_in_german	Abraham, Werner		Modal particles in German: Word classification and legacy beyond grammaticalisation		2000	abraham_legacy-grammaticalisation2000
Abraham-2001-syntax_and_semantics_of	Abraham, Werner		Syntax and semantics of modal verbs in German and their diachronic root: soft aspectual and robust finiteness constraints		2001	abraham_soft-robust2001
Abraham-2002-german_clause_structure_under	Abraham, Werner and Molnárfi, László		German clause structure under discourse functional weight		2002	abraham-molnarfi_under-weight2002
Abraham-2007-discourse_binding_dp_and	Abraham, Werner		Discourse binding: DP and pronouns in German, Dutch, and English		2007	abraham_binding-dp2007
Adler-1846-ollendorffs_new_method_of	Adler, G. J.		Ollendorff's new method of learning to read, write, and speak the German language; to which is added a systematic outline of the different parts of speech, their inflection and use, with full paradigms and a complete table of irregular verbs		1846	adler_ollendorffs-added1846
Albertus-1573-teutsch_grammatick_oder_sprachkunst	Laurentius Albertus		Teutsch Grammatick oder Sprach-Kunst: Certissima Ratio discendae, augendae, ornandae, propagandae conseruandae[que] linguae Alemanorum siue Germanorum, Grammaticis Regvlis Et exemplis comprehensa & conscripta		1573	albertus_grammatick-certissima1573
Anagnostopoulou-2008-notes_on_the_person	Anagnostopoulou, Elena and D’Alessandro, Roberta and Fischer, Susann and Hrafnbjargarson, Gunnar Hrafn	Anagnostopoulou, Elena // Anagnostopoulou, Elena and D’Alessandro, Roberta and Fischer, Susann and Hrafnbjargarson, Gunnar Hrafn	Notes on the Person Case Constraint in Germanic (with special reference to German)		2008	anagnostopoulou-dalessandro-fischer-hrafnbjargarson_constraint-germanic2008 anagnostopoulou_constraint-germanic2008
Atterer-2004-on_the_phonetics_and	Atterer, Michaela and Ladd, D. Robert		On the phonetics and phonology of “segmental anchoring” of F0: Evidence from German		2004	atterer-ladd_anchoring-f02004
Auer-1996-the_prefront_field_in	Auer, Peter		The Pre-Front Field in Spoken German and its Relevance as a Grammaticalization Position		1996	auer_front-relevance1996
Averintseva-Klisch-2007-the_role_of_discourse	Averintseva-Klisch, Maria and Consten, Manfred		The role of discourse topic and proximity for demonstratives in German and Russian		2007	averintseva-klisch-consten_proximity-demonstratives2007
Averintseva-Klisch-2008-11_german_right_dislocation	Averintseva-Klisch, Maria		11. German right dislocation and afterthought in discourse		2008	averintseva-klisch_dislocation-afterthought2008
Axel-2005-studies_on_old_high	Axel, Katrin		Studies on Old High German syntax: left sentence periphery, verb placement and verb-second		2005	axel_periphery-placement2005
Axel-2007-studies_on_old_high	Axel, Katrin		Studies on Old High German Syntax. Left sentence periphery, verb placement and verb-second		2007	axel_periphery-placement2007
Axel-Tober-2011-correlation_and_clause_integration	Axel-Tober, Katrin		Correlation and clause integration in the history of German		2011	axel-tober_correlation-integration2011
Bach-1962-the_order_of_elements	Bach, Emmon		The Order of Elements in a Transformational Grammar of German		1962	bach_elements-transformational1962
Bacon-1906-bacons_new_german_course	Bacon, Edwin F.		Bacon's new German course comprising in one volume the essentials of the grammar with a conversational reader and complete vocabularies		1906	bacon_bacons-comprising1906
Bader-2016-complex_center_embedding_in	Bader, Markus and Featherston, Sam and Versley, Yannick		Complex center embedding in German – The effect of sentence position		2016	bader-featherston-versley_center-embedding2016
Bader-2023-2_how_free_is	Bader, Markus		2. How free is the position of German object pronouns?		2023	bader_free-position2023
Barrios-2017-obrien__fagan_2016	Barrios, Shannon L.		O’Brien & Fagan, 2016. German Phonetics and Phonology: Theory and Practice		2017	barrios_obrien-fagan2017
Bartsch-1995-situations_tense_and_aspect	Bartsch, Renate		Situations, Tense, and Aspect. Dynamic Discourse Ontology and the Semantic Flexibility of Temporal System in German and English		1995	bartsch_ontology-flexibility1995
Baumgarten-2008-writer_construction_in_english	Baumgarten, Nicole		Writer construction in English and German popularized academic discourse: The uses of we and wir		2008	baumgarten_writer-popularized2008
Bayer-1990-what_bavarian_negative_concord	Bayer, Josef		What Bavarian Negative Concord Reveals about the Syntactic Structure of German		1990	bayer_bavarian-reveals1990
Bayer-1991-german_particles_in_a	Bayer, Josef and Abraham, Werner		German particles in a modular grammar: Neurolinguistic evidence		1991	abraham-bayer_modular-neurolinguistic1991
Bayer-1991-german_particles_in_modular	Bayer, Josef		German particles in modular grammar		1991	bayer_particles-modular1991
Bayer-2016-a_new_diagnostic_for	Bayer, Josef and Häussler, Jana and Bader, Markus		A new diagnostic for cyclic wh-movement: Discourse particles in German questions		2016	bader-bayer-haussler_diagnostic-cyclic2016
Bayer-2016-emphatic_topicalization_and_the	Bayer, Josef and Dasgupta, Probal		Emphatic topicalization and the structure of the left periphery: Evidence from German and Bangla		2016	bayer-dasgupta_emphatic-bangla2016
Beck-2014-contrasting_english_and_german	Beck, Sigrid and Gergel, Remus		Contrasting English and German grammar	Contrasting English and German Grammar. An Introduction to Syntax and Semantics // Contrasting English and German grammar	2014	beck-gergel_contrasting-german2014 beck-gergel_contrasting-semantics2014
Becker-1830-a_grammar_of_the	Becker, Karl Ferdinand		A Grammar of the German Language		1830	becker_grammar-german1830
Becker-1845-a_grammar_of_the	Becker, Karl Ferdinand		A grammar of the German language		1845	becker_grammar-german1845
Becker-1967-generative_phonology_and_dialect	Becker, Donald Allen		Generative phonology and dialect study: An investigation of three modern German dialects		1967	becker_generative-investigation1967
Becker-1968-materials_for_the_understanding	Becker, Carl Heinrich		Materials for the understanding of Islam in German East Africa [edited and translated by B.G. Martin]		1968	becker_islam-edited1968
Becker-2003-ruhrdeutsch_die_sprache_des	A. K. Becker		"Ruhrdeutsch": Die Sprache des Ruhrgebiets in einer umfassenden Analyse		2003	becker_ruhrdeutsch-ruhrgebiets2003
Beedham-1989-investigating_grammar_through_lexical	Beedham, Christopher		Investigating Grammar Through Lexical Exceptions: Tense And Irregular Verbs In English, German And Russian		1989	beedham_exceptions-irregular1989
Beermann-1997-syntactic_discontinuity_and_predicate	Beermann, Dorothee A.		Syntactic discontinuity and predicate formation: a study in German and comparative Germanic syntax		1997	beermann_discontinuity-predicate1997
Behaghel-1923-deutsche_syntax_eine_geschichtliche	Behaghel, Otto		Deutsche Syntax: eine geschichtliche Darstellung		1923	behaghel_geschichtliche-darstellung1923
Benner-2012-phonological_processing_of_german	Benner, Uta		Phonological Processing of German Sign Language		2012	benner_processing-sign2012
Bentivogli-2018-neural_versus_phrasebased_mt	Bentivogli, Luisa and Bisazza, Arianna and Cettolo, Mauro and Federico, Marcello		Neural versus phrase-based mt quality: An in-depth analysis on english–german and english–french		2018	bentivogli-bisazza-cettolo-federico_mt-depth2018
Benware-1986-phonetics_and_phonology_of	Benware, Wilbur A.		Phonetics and phonology of Modern German		1986	benware_phonetics-modern1986
Berg-2006-the_internal_structure_of	Berg, Thomas		The internal structure of four-noun compounds in English and German		2006	berg_four-compounds2006
Berg-2016-a_note_on_the	Berg, Ivar		A note on the relationship between Scandinavian and Low German		2016	berg_scandinavian-low2016
Berlin-1972-skizze_der_deutschen_grammatik	Deutsche Akademie der Wissenschaften zu Berlin		Skizze der deutschen Grammatik		1972	zu_skizze-grammatik1972
Berman-2003-clausal_syntax_of_german	Berman, Judith		Clausal syntax of German		2003	berman_clausal-german2003
Bernays-1833-a_compendious_german_grammar	Bernays, Adolphus		A compendious German grammar with a dictionary of the principal prefixes and affixes alphabetically arranged		1833	bernays_compendious-alphabetically1833
Besch-2004-language_history_a_handbook	Besch, Werner and Betten, Anne and Reichmann, Oskar and Sonderegger, Stefan		Language History. A Handbook of the History of the German Language and its Investigation		2004	besch-betten-reichmann-sonderegger_handbook-investigation2004
Betz-2008-grammar_and_interaction_pivots	Betz, Emma		Grammar and Interaction. Pivots in German conversation		2008	betz_pivots-conversation2008
Beyer-2017-variation_in_the_structure	Beyer, Rahel		Variation in the structure of conjunctions in Luxembourgish German in the 19th century		2017	beyer_conjunctions-luxembourgish2017
Bhatt-1990-die_syntaktische_struktur_der	Bhatt, Christa		Die syntaktische Struktur der Nominalphrase im Deutschen [The syntactic structure of nominal phrases in German]		1990	bhatt_syntaktische-nominalphrase1990
Bidese-2014-the_vulnerability_of_the	Bidese, Ermenegildo and Putnam, Michael T.		The vulnerability of the C-layer: introductory notes on German complementizers in contact		2014	bidese-putnam_vulnerability-layer2014
Bierwisch-1967-syntactic_features_in_morphology	Bierwisch, Manfred		Syntactic features in morphology. General problems of so-called pronominal inflection in German		1967	bierwisch_called-inflection1967
Bisiada-2013-changing_conventions_in_german	Bisiada, Mario		Changing conventions in German causal clause complexes		2013	bisiada_conventions-complexes2013
Bithell-1952-german_pronunciation_and_phonology	Bithell, Jethro		German pronunciation and phonology		1952	bithell_german-pronunciation1952
Bittner-2000-gender_classification_and_the	Bittner, Dagmar		Gender classification and the inflectional system of German nouns		2000	bittner_inflectional-nouns2000
Boas-1978-lexical_entries_for_verbs	Boas, Hans Ulrich		Lexical entries for verbs in a contrastive lexicon English-German		1978	boas_entries-contrastive1978
Boas-1981-lexical_entries_for_verbs	Boas, Hans Ulrich		Lexical entries for verbs in a contrastive english-german lexicon		1981	boas_entries-contrastive1981
Boas-2009-the_life_and_death	Boas, Hans C.		The Life and Death of Texas German		2009	boas_death-texas2009
Bohnacker-2007-how_to_start_a	Bohnacker, Ute and Rosén, Christina and Anderssen, Merete and Westergaard, Marit		How to start a V2 declarative clause: Transfer of syntax vs. information structure in L2 German		2007	anderssen-bohnacker-rosen-westergaard_start-declarative2007
Bohnacker-2008-the_clauseinitial_position_in	Bohnacker, Ute and Rosén, Christina		The clause-initial position in L2 German declaratives: Transfer of information structure		2008	bohnacker-rosen_declaratives-transfer2008
Borgert-1975-a_german_reference_grammar	Borgert, Udo H. G. and Nyhan, Charles A.		A German Reference Grammar		1975	borgert-nyhan_german-reference1975
Bosch-2017-the_timecourse_of_morphosyntactic	Bosch, Sina and Krause, Helena and Leminen, Alina		The time-course of morphosyntactic and semantic priming in late bilinguals: A study of German adjectives		2017	bosch-krause-leminen_priming-bilinguals2017
Bott-2018-german_particle_verbs_compositionality	Bott, Stefan and Schulte im Walde, Sabine		German Particle Verbs: Compositionality at the Syntax-Semantics Interface		2018	bott-im_particle-compositionality2018
Boyes-Braem-2001-a_multimedia_bilingual_database	Boyes-Braem, Penny		A multimedia bilingual database for the lexicon of Swiss German Sign Language		2001	boyes-braem_multimedia-swiss2001
Brandt-2009-the_discourse_bases_of	Brandt, Silke and Kidd, Evan and Lieven, Elena and Tomasello, Michael		The discourse bases of relativization: An investigation of young German and English-speaking children's comprehension of relative clauses		2009	brandt-kidd-lieven-tomasello_bases-relativization2009
Brandt-2011-german_childrens_productivity_with	Brandt, Silke and Verhagen, Arie and Lieven, Elena and Tomasello, Michael		German children's productivity with simple transitive and complement-clause constructions: Testing the effects of frequency and variability		2011	brandt-lieven-tomasello-verhagen_productivity-transitive2011
Braun-1990-verbfirst_and_verbthird_declarative	Braun, Friedrich		Verb-first and verb-third declarative clause patterns in contemporary spoken German		1990	braun_third-declarative1990
Braun-2006-phonetics_and_phonology_of	Braun, Bettina		Phonetics and phonology of thematic contrast in German		2006	braun_thematic-contrast2006
Braun-2010-when_are_german_girls	Braun, Friederike and Haig, Geoffrey and Bieswanger, Markus and Motschenbacher, Heiko and Mühleisen, Susanne		When are German ‘girls’ feminine? How the semantics of age influences the grammar of gender agreement		2010	bieswanger-braun-haig-motschenbacher-muhleisen_girls-feminine2010
Bredel-2006-zur_geschichte_der_interpunktionskonzeptionen	Bredel, Ursula		Zur Geschichte der Interpunktionskonzeptionen des Deutschen – dargestellt an der Kodifizierung des Punktes / On the history of the conception of punctuation in German - a description exemplified by the codification of the full stop		2006	bredel_interpunktionskonzeptionen-punktes2006
Brekle-1981-biobibliographical_handbook_of_18thcentury	Brekle, Herbert E. and Höller, Hans-Jürgen		Biobibliographical Handbook of 18th-Century Scholars in the Language-Sciences in German-Speaking Countries		1981	brekle-holler_biobibliographical-scholars1981
Breul-1906-a_german_and_english	Breul, Karl		A German and English Dictionary		1906	breul_german-dictionary1906
